    AccDC
    Dojo Toolkit
    Glow
    jQuery
    midori
    MooTools
    Prototype JavaScript Framework
    YUI Library
    Ample SDK
    DHTMLX
    Dojo Widgets
    Ext JS
    iX Framework
    jQuery UI
    Lively Kernel
    qooxdoo
    Script.aculo.us
    SmartClient
AngularJS
Atoms.js
Backbone.js
Cappuccino
Chaplin.js
Echo
Ember.js
Enyo
Google Web Toolkit
JavaScriptMVC
Knockout
Rialto Toolkit
SproutCore
Wakanda Framework
Kendo
FuncJS
Google Closure Library
Joose
jsPHP
Microsoft's Ajax library
MochiKit
PDF.js
Rico
Socket.IO
Spry framework
Underscore.js
D3.js
JavaScript InfoVis Toolkit
Kinetic.js
Processing.js
Raphaël
SWFObject
Three.js
createjs
