,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12,Cluster13,Cluster14,Cluster15,Cluster16,Cluster17,Cluster18
Cluster Size,0.4154,0.1719,0.1602,0.07,0.0517,0.0418,0.0329,0.0199,0.011,0.009,0.0061,0.0056,0.0017,0.0012,0.0011,0.0002,0.0001,0
PushEvents,37.8558,101.9784,25.8494,11.6828,274.8046,59.4822,120.0542,45.2727,837.4982,279.8416,98.0372,521.3906,347.9811,4078.6163,1747.4118,2735.7995,428.4644,66216.0576
WatchEvents,0.5582,1.4963,4.8105,37.5955,3.0703,3.2871,24.3412,171.9547,10.5204,18.2329,651.4305,150.0985,2163.7111,70.4727,407.2441,7335.098,84.6712,48.9228
IssuesEvents,0.1071,0.548,4.1702,4.057,3.2874,45.3186,19.9709,24.8788,14.5213,271.593,85.6326,167.2294,369.7815,31.3329,1166.3264,2411.1979,17047.9321,0.361
ForkEvents,0.2714,0.8441,3.367,13.1038,1.8165,1.4117,16.5073,45.4975,6.6875,8.7327,144.2978,84.8281,522.694,56.7582,230.2784,3212.4303,60.5167,42.194
PullRequestEvents,0.0681,0.592,5.4367,3.8061,1.5937,1.5121,40.133,18.1176,10.1014,14.7233,52.5785,233.9391,226.3084,97.8933,943.3507,2830.4658,124.0917,24.9905
DeleteEvents,0.5395,1.1042,0.493,0.1237,3.7096,0.7249,2.825,0.6637,13.4399,4.257,1.7725,13.1447,7.6589,48.3581,40.4906,39.3498,3.497,15.0981
MemberEvents,0.3913,0.6974,0.4065,0.0835,1.0783,0.7185,0.6811,0.215,1.2945,1.5208,0.3543,1.237,0.7374,0.9858,1.3311,0.8466,0.9104,0.0039
