jobId,Job Type,State,Start Time,Duration
job_Vra3YdUUaQz510udtj3S8wLr_pE,query,SUCCESS,24 Mar 14:38:48,0:00:03
job_r3-UOqWL7dlboX2lenxmMX7Ga60,query,SUCCESS,24 Mar 10:52:29,0:00:07
job_YTLmT7Vs3QDSRHdOT9gmlljRiUA,query,SUCCESS,23 Mar 09:43:14,0:00:09
job_HLUsXxIleE99a0N9v1IkjF7EhnQ,query,SUCCESS,15 Mar 11:51:25,0:00:00
job_lYcI-3WxAauKoz4AgfC76QWJn7Q,query,SUCCESS,15 Mar 11:47:18,0:00:06
job_NKgh42v1b_mn-2sW3dWJkvzPZoM,query,FAILURE,15 Mar 11:46:25,0:00:01
job_F1aH1OpX3eZ583erkXaw0FUqLpA,query,FAILURE,15 Mar 11:46:00,0:00:00
bquijob_b001f46_153654b7aaa,query,SUCCESS,11 Mar 10:49:19,0:00:03
bquijob_493e63cd_153654aed53,query,FAILURE,11 Mar 10:48:42,0:00:00
bquijob_50a05b99_153654a1882,query,SUCCESS,11 Mar 10:47:48,0:00:05
bquijob_638058ea_1536549eeea,query,SUCCESS,11 Mar 10:47:37,0:00:04
bquijob_12154aaa_1536548ffa3,query,SUCCESS,11 Mar 10:46:36,0:00:01
bquijob_30d29693_1536548a5a9,query,SUCCESS,11 Mar 10:46:13,0:00:10
bquijob_2517b4c_1536547d13d,query,FAILURE,11 Mar 10:45:19,0:00:00
bquijob_6b00a73d_1536544ccfc,query,SUCCESS,11 Mar 10:42:01,0:00:00
bquijob_ed36e69_1536544b111,query,SUCCESS,11 Mar 10:41:54,0:00:00
bquijob_20a1d615_153654490cf,query,SUCCESS,11 Mar 10:41:46,0:00:00
bquijob_3a45c269_153654462f3,query,SUCCESS,11 Mar 10:41:34,0:00:01
bquijob_208d1297_1536544402e,query,SUCCESS,11 Mar 10:41:25,0:00:02
bquijob_12c808a0_1536544192c,query,FAILURE,11 Mar 10:41:15,0:00:00
bquijob_289ba760_15365430253,query,SUCCESS,11 Mar 10:40:04,0:00:01
bquijob_32b42586_1536535e414,query,SUCCESS,11 Mar 10:25:44,0:00:03
job_sGnDfisuTOow00OwirVLL6IBJpc,query,SUCCESS,11 Mar 10:15:27,0:00:00
job_MiANB_93143Ziog7NYDbOQRXoWM,query,SUCCESS,11 Mar 10:15:25,0:00:00
job_2mcS6s85ZlWSiqq82pRWVAuoOOE,query,SUCCESS,11 Mar 10:15:23,0:00:00
job_TdCfBSqmbOB7scftE3rueSdwIVY,query,SUCCESS,11 Mar 10:15:22,0:00:00
job_iIoRTvu9fFvOwIl_2ZxTgF8J-dw,query,SUCCESS,11 Mar 10:15:20,0:00:00
job_ktQ_5VtZhYG5o5540AYvqH6M8ok,query,SUCCESS,11 Mar 10:14:44,0:00:00
job_jPRhNmODa0SsJHK3nkDn-SZ0e6s,query,SUCCESS,11 Mar 10:14:41,0:00:00
job_7_g-y4YAxRiZ48bR-PJbuo9yL00,query,SUCCESS,11 Mar 10:14:39,0:00:00
job_XqrI2S86IgH4oa43K3GWrboGkZI,query,SUCCESS,11 Mar 10:14:37,0:00:00
job_6_m4UbbNAVx2pIL5rc610h9pS2w,query,SUCCESS,11 Mar 10:14:36,0:00:00
