payload_desc,STRING
payload_member_avatar_url,STRING
payload_member_gravatar_id,STRING
payload_member_url,STRING
payload_member_id,INTEGER
payload_member_login,STRING
payload_commit,STRING
payload_target_gravatar_id,STRING
payload_target_followers,INTEGER
payload_target_id,INTEGER
payload_target_repos,INTEGER
payload_target_login,STRING
payload_comment_commit_id,STRING
payload_comment_updated_at,STRING
payload_comment_created_at,STRING
payload_comment_path,STRING
payload_comment_user_id,INTEGER
payload_comment_user_avatar_url,STRING
payload_comment_user_url,STRING
payload_comment_user_login,STRING
payload_comment_user_gravatar_id,STRING
payload_comment_position,INTEGER
payload_comment_url,STRING
payload_comment_body,STRING
payload_comment_original_commit_id,STRING
payload_comment_original_position,INTEGER
payload_after,STRING
payload_before,STRING
payload_commit_id,STRING
payload_commit_email,STRING
payload_commit_msg,STRING
payload_commit_name,STRING
payload_commit_flag,STRING
payload_page_sha,STRING
payload_page_title,STRING
payload_page_action,STRING
payload_page_page_name,STRING
payload_page_summary,STRING
payload_page_html_url,STRING
url,STRING
type,STRING
