repository_url,repository_name,created_at
https://github.com/hadley/ggplot2,ggplot2,2013-12-05 08:49:53
https://github.com/hadley/ggplot2,ggplot2,2013-12-05 16:57:41
https://github.com/hadley/ggplot2,ggplot2,2013-12-06 04:16:34
https://github.com/hadley/ggplot2,ggplot2,2013-12-09 09:23:57
https://github.com/hadley/ggplot2,ggplot2,2013-12-13 21:31:38
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2013-12-14 13:29:12
https://github.com/hadley/ggplot2,ggplot2,2013-12-18 15:07:17
https://github.com/hadley/ggplot2,ggplot2,2013-12-22 14:43:20
https://github.com/hadley/ggplot2,ggplot2,2014-01-05 22:44:09
https://github.com/hadley/ggplot2,ggplot2,2014-01-09 10:25:55
https://github.com/hadley/ggplot2,ggplot2,2014-01-15 07:01:10
https://github.com/hadley/ggplot2,ggplot2,2014-01-26 02:25:37
https://github.com/hadley/ggplot2,ggplot2,2014-01-27 21:47:53
https://github.com/hadley/ggplot2,ggplot2,2014-01-30 22:12:12
https://github.com/alstat/ggplot2,ggplot2,2014-02-01 04:12:26
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-02-02 13:39:16
https://github.com/hadley/ggplot2,ggplot2,2014-02-04 11:42:12
https://github.com/hadley/ggplot2,ggplot2,2014-02-10 05:49:05
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-02-10 05:51:57
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-02-11 06:21:14
https://github.com/hadley/ggplot2,ggplot2,2014-02-11 19:53:08
https://github.com/hadley/ggplot2,ggplot2,2014-02-15 07:45:22
https://github.com/hadley/ggplot2,ggplot2,2014-02-18 17:33:04
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-02-18 17:35:57
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-02-22 10:24:51
https://github.com/hadley/ggplot2,ggplot2,2014-02-22 18:11:19
https://github.com/hadley/ggplot2,ggplot2,2014-02-24 21:57:37
https://github.com/hadley/ggplot2,ggplot2,2014-02-24 23:37:34
https://github.com/hadley/ggplot2,ggplot2,2014-02-25 11:01:17
https://github.com/hadley/ggplot2,ggplot2,2014-02-25 11:10:35
https://github.com/hadley/ggplot2,ggplot2,2014-02-25 18:49:20
https://github.com/hadley/ggplot2,ggplot2,2014-02-26 15:24:39
https://github.com/hadley/ggplot2,ggplot2,2014-03-01 15:21:13
https://github.com/hadley/ggplot2,ggplot2,2014-03-01 21:09:19
https://github.com/hadley/ggplot2,ggplot2,2014-03-06 03:27:19
https://github.com/hadley/ggplot2,ggplot2,2014-03-08 01:45:02
https://github.com/hadley/ggplot2,ggplot2,2014-03-12 04:52:37
https://github.com/hadley/ggplot2,ggplot2,2014-03-13 02:21:53
https://github.com/hadley/ggplot2,ggplot2,2014-03-15 11:11:24
https://github.com/hadley/ggplot2,ggplot2,2014-03-17 06:14:05
https://github.com/hadley/ggplot2,ggplot2,2014-03-19 03:25:37
https://github.com/hadley/ggplot2,ggplot2,2014-03-19 14:32:05
https://github.com/hadley/ggplot2,ggplot2,2014-03-24 06:19:55
https://github.com/hadley/ggplot2,ggplot2,2014-03-24 20:31:59
https://github.com/hadley/ggplot2,ggplot2,2014-03-26 05:44:07
https://github.com/hadley/ggplot2,ggplot2,2014-03-27 20:52:18
https://github.com/hadley/ggplot2,ggplot2,2014-04-06 00:29:53
https://github.com/hadley/ggplot2,ggplot2,2014-04-06 13:14:48
https://github.com/hadley/ggplot2,ggplot2,2014-04-06 22:55:51
https://github.com/hadley/ggplot2,ggplot2,2014-04-07 00:06:34
https://github.com/hadley/ggplot2,ggplot2,2014-04-07 03:06:55
https://github.com/hadley/ggplot2,ggplot2,2014-04-10 00:26:54
https://github.com/hadley/ggplot2,ggplot2,2014-04-10 07:47:52
https://github.com/hadley/ggplot2,ggplot2,2014-04-12 09:12:38
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-04-12 09:13:33
https://github.com/hadley/ggplot2,ggplot2,2014-04-14 20:10:42
https://github.com/hadley/ggplot2,ggplot2,2014-04-16 10:31:37
https://github.com/hadley/ggplot2,ggplot2,2014-04-18 06:03:13
https://github.com/hadley/ggplot2,ggplot2,2014-04-18 11:30:57
https://github.com/hadley/ggplot2,ggplot2,2014-04-21 12:17:16
https://github.com/hadley/ggplot2,ggplot2,2014-04-21 15:33:38
https://github.com/hadley/ggplot2,ggplot2,2014-04-23 06:27:13
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-04-23 12:12:51
https://github.com/hadley/ggplot2,ggplot2,2014-04-23 23:36:26
https://github.com/hadley/ggplot2,ggplot2,2014-04-23 23:38:29
https://github.com/hadley/ggplot2,ggplot2,2014-04-24 02:07:04
https://github.com/hadley/ggplot2,ggplot2,2014-04-27 02:29:36
https://github.com/hadley/ggplot2,ggplot2,2014-04-27 22:24:34
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-04-28 02:02:55
https://github.com/hadley/ggplot2,ggplot2,2014-04-28 12:12:43
https://github.com/hadley/ggplot2,ggplot2,2014-04-28 12:27:58
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-04-30 13:09:47
https://github.com/hadley/ggplot2,ggplot2,2014-05-01 19:50:53
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-05-03 17:23:42
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-05-04 17:15:05
https://github.com/hadley/ggplot2,ggplot2,2014-05-05 05:54:28
https://github.com/hadley/ggplot2,ggplot2,2014-05-05 15:07:26
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-05-07 04:00:59
https://github.com/hadley/ggplot2,ggplot2,2014-05-08 20:18:26
https://github.com/hadley/ggplot2,ggplot2,2014-05-10 00:06:21
https://github.com/hadley/ggplot2,ggplot2,2014-05-11 03:32:30
https://github.com/hadley/ggplot2,ggplot2,2014-05-11 07:22:34
https://github.com/hadley/ggplot2,ggplot2,2014-05-11 12:35:29
https://github.com/hadley/ggplot2,ggplot2,2014-05-12 21:11:59
https://github.com/jennybc/ggplot2-tutorial,ggplot2-tutorial,2014-05-15 23:20:38
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-05-17 01:56:46
https://github.com/hadley/ggplot2,ggplot2,2014-05-17 19:46:04
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-05-17 23:34:37
https://github.com/hadley/ggplot2,ggplot2,2014-05-18 06:50:15
https://github.com/hadley/ggplot2,ggplot2,2014-05-18 09:33:42
https://github.com/hadley/ggplot2,ggplot2,2014-05-19 17:01:28
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-05-23 15:43:57
https://github.com/hadley/ggplot2,ggplot2,2014-05-24 19:02:10
https://github.com/hadley/ggplot2,ggplot2,2014-05-26 12:24:49
https://github.com/echen/ggplot2-tutorial,ggplot2-tutorial,2014-05-27 11:14:58
https://github.com/hadley/ggplot2,ggplot2,2014-05-31 16:00:04
https://github.com/jennybc/ggplot2-tutorial,ggplot2-tutorial,2014-06-04 05:20:06
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-06-04 11:38:06
https://github.com/hadley/ggplot2,ggplot2,2014-06-05 02:00:22
https://github.com/hadley/ggplot2,ggplot2,2014-06-07 18:07:16
https://github.com/hadley/ggplot2,ggplot2,2014-06-07 21:58:40
https://github.com/hadley/ggplot2,ggplot2,2014-06-09 10:11:26
https://github.com/hadley/ggplot2,ggplot2,2014-06-09 13:40:59
https://github.com/hadley/ggplot2,ggplot2,2014-06-09 19:45:14
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-06-10 09:31:11
https://github.com/hadley/ggplot2,ggplot2,2014-06-10 16:08:31
https://github.com/hadley/ggplot2,ggplot2,2014-06-11 11:08:27
https://github.com/hadley/ggplot2,ggplot2,2014-06-11 23:57:05
https://github.com/hadley/ggplot2,ggplot2,2014-06-12 10:04:48
https://github.com/hadley/ggplot2,ggplot2,2014-06-13 10:08:28
https://github.com/hadley/ggplot2,ggplot2,2014-06-13 10:20:03
https://github.com/hadley/ggplot2,ggplot2,2014-06-13 16:05:57
https://github.com/jennybc/ggplot2-tutorial,ggplot2-tutorial,2014-06-14 21:05:03
https://github.com/hadley/ggplot2,ggplot2,2014-06-19 17:35:38
https://github.com/kohske/ggplot2,ggplot2,2014-06-19 20:37:21
https://github.com/hadley/ggplot2,ggplot2,2014-06-20 11:00:07
https://github.com/hadley/ggplot2,ggplot2,2014-06-20 22:19:38
https://github.com/hadley/ggplot2,ggplot2,2014-06-21 02:26:33
https://github.com/hadley/ggplot2,ggplot2,2014-06-21 12:15:21
https://github.com/cosname/ggplot2-translation,ggplot2-translation,2014-06-24 03:29:24
https://github.com/hadley/ggplot2,ggplot2,2014-06-26 16:40:47
https://github.com/hadley/ggplot2,ggplot2,2014-06-27 06:50:43
https://github.com/hadley/ggplot2,ggplot2,2014-06-29 01:57:49
https://github.com/hadley/ggplot2,ggplot2,2014-06-29 21:48:14
https://github.com/hadley/ggplot2,ggplot2,2014-06-30 06:00:54
https://github.com/hadley/ggplot2,ggplot2,2014-07-03 15:33:11
