repository_organization,Unnamed: 0,Repos,ReposWhichAreForks,PushEvents,Pushers,FirstPush,LastPush,PushDurationDays,repository_homepages,repository_owners,repository_languages,WatchEvents,ForkEvents,IssuesEvents,IssueCommentEvents,DownloadEvents,PullRequestsClosed,PullRequestsMerged,SO_repos_linked_to,SO_posts_linking_to_orgs_repos,SO_answers_linking_to_orgs_repos,org_created,TempTable,blog,FirstEvent,EarlyEvents,MinsTo20Events,First20_Creates,First20_Forks,First20_Pushes,First20_WatchEvents,First20_IssueEvents,First20_PullRequests,First20_DistinctRepos,First20_OtherEvents,Event20Time,type
,12412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembla,Assembla,6.0,8.0,25.0,5.0,1346234766.0,1372836014.0,308.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2010-12-00 00:00:00,0.0,www.assembla.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
Atc-it,Atc-it,1.0,2.0,17.0,1.0,1377692849.0,1383655201.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-10-02 00:00:00,4.0,atc-it.fr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
AugustineIdeas,AugustineIdeas,2.0,0.0,25.0,2.0,1362011544.0,1367855412.0,68.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-03 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
BBC,BBC,7.0,2.0,166.0,4.0,1332279170.0,1380031029.0,553.0,2.0,1.0,2.0,113.0,26.0,65.0,68.0,0.0,32.0,25.0,0.0,0.0,0.0,2011-06-00 00:00:00,0.0,http://www.bbc.co.uk/blogs/internet,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
BCTS,BCTS,4.0,0.0,7.0,2.0,1369431820.0,1382753216.0,155.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
BINARYIMAGES,BINARYIMAGES,4.0,0.0,11.0,3.0,1382632898.0,1383980447.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
BLEUROY-HIGHCO,BLEUROY-HIGHCO,3.0,1.0,70.0,3.0,1332765697.0,1384942179.0,604.0,1.0,1.0,2.0,22.0,9.0,6.0,48.0,0.0,15.0,16.0,0.0,0.0,0.0,2011-11-02 00:00:00,0.0,http://www.bleuroy.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
BabylonJS,BabylonJS,2.0,0.0,85.0,3.0,1372372360.0,1383896261.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2013-06-02 00:00:00,2.0,http://www.babylonjs.com,,20.0,695.1,2.0,0.0,3.0,13.0,0.0,0.0,1.0,2.0,2013-06-28 08:15:48,3.0
BaksVenture,BaksVenture,1.0,0.0,66.0,2.0,1331880405.0,1337759449.0,69.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
Baralga,Baralga,2.0,0.0,47.0,1.0,1331751135.0,1381687501.0,578.0,2.0,1.0,3.0,17.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2012-02-02 00:00:00,0.0,http://baralga.github.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
BaseCaseGmbH,BaseCaseGmbH,2.0,2.0,4.0,2.0,1339086930.0,1370513741.0,364.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-04-02 00:00:00,5.0,basecase.com,,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2012-06-07 16:35:30,3.0
Battrick,Battrick,2.0,0.0,7.0,1.0,1339418172.0,1354743419.0,178.0,1.0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
Bevenour-Studios,Bevenour-Studios,3.0,4.0,7.0,1.0,1372458367.0,1381104265.0,101.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-02 00:00:00,2.0,,,4.0,1472.45,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2013-06-29 22:58:34,1.0
BookingApp,BookingApp,1.0,0.0,6.0,2.0,1346699126.0,1360129371.0,156.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
BookingBug,BookingBug,7.0,7.0,52.0,5.0,1359732991.0,1380535664.0,241.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
BrainStation-23,BrainStation-23,1.0,0.0,57.0,1.0,1359711317.0,1381310101.0,250.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-02 00:00:00,3.0,http://www.brainstation-23.com/,,20.0,4242.37,3.0,0.0,13.0,0.0,2.0,0.0,1.0,3.0,2013-02-04 07:24:41,3.0
BrandQuestDeveloper,BrandQuestDeveloper,1.0,0.0,31.0,2.0,1376255686.0,1382129808.0,68.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
BukkTuts,BukkTuts,8.0,1.0,34.0,5.0,1365294674.0,1384925710.0,228.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
C4G,C4G,3.0,0.0,767.0,5.0,1346250895.0,1382202947.0,417.0,1.0,2.0,3.0,12.0,6.0,227.0,9.0,0.0,1.0,4.0,1.0,3.0,0.0,2012-08-02 00:00:00,4.0,http://www.cc.gatech.edu/about/advancing/c4g/,,20.0,4304.42,1.0,0.0,3.0,1.0,15.0,0.0,1.0,1.0,2012-09-01 13:52:11,3.0
CDandCo,CDandCo,7.0,0.0,33.0,2.0,1333576205.0,1335188493.0,19.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-03-02 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
CNMAT,CNMAT,6.0,1.0,407.0,7.0,1346274126.0,1385162798.0,451.0,1.0,1.0,3.0,15.0,8.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
COSI-Lab,COSI-Lab,4.0,0.0,66.0,4.0,1381197053.0,1385060524.0,45.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
CSCE242,CSCE242,2.0,0.0,19.0,1.0,1347890374.0,1354456140.0,76.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2012-05-01 00:00:00,5.0,http://www.csce242.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
Capital-Laravel-Group,Capital-Laravel-Group,2.0,0.0,5.0,1.0,1374112330.0,1382128091.0,93.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-01 00:00:00,2.0,http://www.meetup.com/Capital-Laravel-Group/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
Chiru,Chiru,8.0,1.0,1243.0,15.0,1331642830.0,1384862122.0,616.0,1.0,1.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
CisecoPlc,CisecoPlc,14.0,3.0,111.0,3.0,1340703114.0,1384127794.0,503.0,1.0,1.0,4.0,19.0,10.0,1.0,0.0,108.0,0.0,6.0,0.0,0.0,0.0,2012-06-02 00:00:00,5.0,www.ciseco.co.uk,,18.0,84579.25,4.0,2.0,9.0,3.0,0.0,0.0,4.0,4.0,2012-08-23 16:44:35,3.0
CityOfPhiladelphia,CityOfPhiladelphia,14.0,1.0,176.0,5.0,1352150065.0,1384800924.0,378.0,5.0,1.0,2.0,15.0,8.0,9.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,2012-10-02 00:00:00,4.0,http://phila.gov,,20.0,35634.17,5.0,0.0,15.0,0.0,0.0,0.0,3.0,5.0,2012-11-30 14:46:40,3.0
Clark-Nikdel-Powell,Clark-Nikdel-Powell,15.0,0.0,191.0,4.0,1343248094.0,1385077433.0,485.0,2.0,1.0,3.0,15.0,4.0,9.0,8.0,0.0,2.0,5.0,0.0,0.0,0.0,2012-07-02 00:00:00,5.0,clarknikdelpowell.com,,20.0,11597.3,3.0,0.0,15.0,1.0,0.0,0.0,3.0,3.0,2012-08-02 21:31:05,3.0
CodeForTheCaribbean,CodeForTheCaribbean,5.0,0.0,44.0,4.0,1377294432.0,1384801919.0,87.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-06-00 00:00:00,2.0,http://codeforthecaribbean.org/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
CodeSeven,CodeSeven,2.0,0.0,359.0,2.0,1335836539.0,1384804580.0,567.0,0.0,1.0,1.0,1185.0,256.0,160.0,352.0,13.0,46.0,33.0,2.0,15.0,7.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
CogWorks,CogWorks,15.0,0.0,736.0,8.0,1332351275.0,1385155435.0,612.0,1.0,1.0,2.0,8.0,2.0,16.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
Comcast,Comcast,10.0,1.0,487.0,10.0,1349911764.0,1385092157.0,408.0,3.0,1.0,4.0,137.0,22.0,57.0,47.0,15.0,15.0,38.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
Compilify,Compilify,1.0,0.0,408.0,3.0,1333988654.0,1362012934.0,325.0,1.0,1.0,2.0,531.0,104.0,232.0,153.0,0.0,11.0,9.0,0.0,0.0,0.0,2012-04-00 00:00:00,0.0,http://compilify.net,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
ContrapuntoTeam,ContrapuntoTeam,1.0,1.0,7.0,3.0,1379134649.0,1383955354.0,56.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
CoreMedia,CoreMedia,17.0,6.0,977.0,17.0,1331547023.0,1385116456.0,621.0,4.0,1.0,6.0,56.0,27.0,64.0,19.0,4.0,6.0,7.0,0.0,0.0,0.0,2010-01-01 00:00:00,0.0,http://www.coremedia.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
DDC-devs,DDC-devs,1.0,0.0,60.0,1.0,1348737790.0,1384943243.0,420.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
DE-IBH,DE-IBH,6.0,0.0,152.0,2.0,1335036873.0,1383155560.0,557.0,3.0,1.0,3.0,34.0,41.0,24.0,31.0,7.0,15.0,22.0,0.0,0.0,0.0,2012-03-02 00:00:00,0.0,http://www.ibh.de/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
Daiech,Daiech,4.0,0.0,239.0,4.0,1339110216.0,1383234334.0,511.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-06-00 00:00:00,5.0,daiech.com,,11.0,21575.5,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,2012-06-22 21:46:35,3.0
DarkHorseComics,DarkHorseComics,10.0,7.0,26.0,5.0,1349217156.0,1384418122.0,408.0,2.0,1.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-04-02 00:00:00,0.0,http://www.darkhorse.com/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
DemoJS,DemoJS,1.0,0.0,395.0,3.0,1336978728.0,1384385733.0,549.0,1.0,1.0,1.0,9.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2011-06-00 00:00:00,0.0,http://demojs.org,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
DesignMonkeyBabys,DesignMonkeyBabys,1.0,0.0,12.0,2.0,1359193479.0,1364637681.0,64.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
DevelopStuff,DevelopStuff,4.0,1.0,13.0,1.0,1341408132.0,1372432888.0,360.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-01 00:00:00,0.0,http://developstuff.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
DeweyDev,DeweyDev,10.0,3.0,302.0,3.0,1359061957.0,1383069074.0,278.0,5.0,1.0,4.0,3.0,3.0,13.0,28.0,0.0,5.0,5.0,0.0,0.0,0.0,2013-01-01 00:00:00,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
Digital-Wolf-Studio,Digital-Wolf-Studio,7.0,4.0,9.0,1.0,1340399611.0,1359839032.0,225.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-06-02 00:00:00,5.0,digitalwolfstudio.tk,,4.0,30624.33,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2012-07-14 03:31:24,3.0
Distrotech,Distrotech,501.0,89.0,3551.0,1.0,1370097844.0,1385394924.0,178.0,53.0,2.0,19.0,10.0,1.0,0.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,2013-06-00 00:00:00,2.0,http://git.distrotech.co.za,,20.0,1249.47,3.0,14.0,5.0,8.0,0.0,2.0,10.0,3.0,2013-06-02 10:59:12,3.0
DuinOS,DuinOS,4.0,1.0,53.0,1.0,1364692152.0,1380309282.0,181.0,3.0,1.0,2.0,3.0,4.0,7.0,23.0,0.0,6.0,0.0,0.0,0.0,0.0,2013-03-01 00:00:00,3.0,www.carlosdelfino.eti.br/duinos,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
DynoSRC,DynoSRC,2.0,0.0,7.0,2.0,1384397832.0,1385150598.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2013-11-01 00:00:00,1.0,http://dinosrc.it,,24.0,8147.73,2.0,0.0,6.0,2.0,0.0,3.0,2.0,2.0,2013-11-19 18:44:56,2.0
EECE-310-TeamL2A4,EECE-310-TeamL2A4,1.0,1.0,25.0,4.0,1363840798.0,1364452649.0,8.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
EFN,EFN,2.0,1.0,39.0,4.0,1364132893.0,1367777494.0,43.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-02 00:00:00,3.0,http://efn.no/,,20.0,1978.85,1.0,1.0,18.0,0.0,0.0,0.0,1.0,1.0,2013-03-25 22:47:04,3.0
ELEN4002-Lab-Project-2012,ELEN4002-Lab-Project-2012,1.0,0.0,21.0,2.0,1347723318.0,1349853471.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
ELK-Phil-UZH,ELK-Phil-UZH,2.0,1.0,64.0,2.0,1367321545.0,1377869130.0,123.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
EZchip,EZchip,5.0,6.0,30.0,2.0,1374405730.0,1382436552.0,93.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-01 00:00:00,2.0,http://www.ezchip.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
EduPad,EduPad,3.0,2.0,5.0,2.0,1351607077.0,1380102997.0,330.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2012-10-03 00:00:00,4.0,edupad.com,,6.0,77.37,3.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,2012-10-30 15:09:17,3.0
ElectricCatStudios,ElectricCatStudios,1.0,0.0,4.0,2.0,1358933378.0,1359713737.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
EmptyKingdom,EmptyKingdom,1.0,0.0,23.0,2.0,1366482349.0,1373647048.0,83.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
ExposureSoftware,ExposureSoftware,2.0,0.0,11.0,1.0,1380668822.0,1384406438.0,44.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
Ez3D,Ez3D,4.0,2.0,11.0,2.0,1374043645.0,1377579971.0,41.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-01 00:00:00,3.0,http://ez3d.org/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
FUSEEProjectTeam,FUSEEProjectTeam,12.0,2.0,867.0,13.0,1352992572.0,1385330308.0,375.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-11-01 00:00:00,4.0,,,20.0,30538.67,3.0,1.0,17.0,0.0,0.0,0.0,2.0,3.0,2012-12-06 21:32:50,2.0
FailFabric,FailFabric,3.0,2.0,49.0,1.0,1359397639.0,1370249541.0,126.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-02 00:00:00,3.0,,,20.0,28390.93,2.0,1.0,18.0,0.0,0.0,0.0,2.0,2.0,2013-02-17 11:28:27,1.0
Fall13IP,Fall13IP,2.0,0.0,109.0,2.0,1378565788.0,1383099931.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
FireEmbers,FireEmbers,16.0,0.0,141.0,1.0,1369655926.0,1384266236.0,170.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-02 00:00:00,2.0,www.crowdprocess.com,,20.0,5653.02,13.0,0.0,7.0,0.0,0.0,0.0,5.0,13.0,2013-05-31 10:06:59,2.0
FiscaliteEtTerritoire,FiscaliteEtTerritoire,2.0,0.0,21.0,2.0,1341347356.0,1381128432.0,461.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-03-03 00:00:00,0.0,www.fiscalite-territoire.fr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
FlamingCode,FlamingCode,3.0,0.0,46.0,1.0,1376476017.0,1385269252.0,102.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2013-08-00 00:00:00,1.0,,,22.0,1964.65,4.0,0.0,11.0,2.0,0.0,4.0,1.0,4.0,2013-08-15 19:01:27,1.0
FunGoStudios,FunGoStudios,9.0,5.0,69.0,3.0,1345649818.0,1381686187.0,418.0,4.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-08-02 00:00:00,4.0,http://www.fungostudios.com,,20.0,12624.85,6.0,8.0,14.0,0.0,0.0,0.0,6.0,6.0,2012-08-31 09:35:41,3.0
FynskeMedier,FynskeMedier,1.0,1.0,4.0,2.0,1365159599.0,1366111471.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
GFZ,GFZ,2.0,0.0,6.0,1.0,1373146472.0,1383708453.0,123.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-00 00:00:00,2.0,http://isdc.gfz-potsdam.de/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
GIDAIbero,GIDAIbero,3.0,0.0,4.0,2.0,1360926677.0,1369074383.0,95.0,1.0,1.0,1.0,2.0,3.0,11.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,2013-02-00 00:00:00,3.0,www.ie.uia.mx,,20.0,27895.73,1.0,0.0,3.0,1.0,6.0,3.0,2.0,1.0,2013-03-06 19:53:27,3.0
GPMGo,GPMGo,6.0,0.0,122.0,2.0,1368638694.0,1375885048.0,84.0,7.0,1.0,2.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
GRIVOSGroup,GRIVOSGroup,2.0,0.0,3.0,1.0,1358264349.0,1382966345.0,286.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-01 00:00:00,4.0,https://www.grivos.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
Game-Group,Game-Group,1.0,0.0,92.0,5.0,1383990020.0,1385392065.0,17.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
GameDevelopmentStudio,GameDevelopmentStudio,6.0,0.0,100.0,2.0,1347559135.0,1385331777.0,438.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
Gangplank-Entertainment,Gangplank-Entertainment,1.0,0.0,7.0,1.0,1364399344.0,1367357367.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-01 00:00:00,4.0,gangplankentertainment.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
GaraioAG,GaraioAG,5.0,4.0,30.0,3.0,1359020675.0,1375184515.0,188.0,3.0,1.0,2.0,0.0,0.0,30.0,7.0,0.0,11.0,2.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
GeNERACE-Test,GeNERACE-Test,2.0,1.0,8.0,3.0,1354251160.0,1355558451.0,16.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
