repository_organization,Unnamed: 0,Repos,ReposWhichAreForks,PushEvents,Pushers,FirstPush,LastPush,PushDurationDays,repository_homepages,repository_owners,repository_languages,WatchEvents,ForkEvents,IssuesEvents,IssueCommentEvents,DownloadEvents,PullRequestsClosed,PullRequestsMerged,SO_repos_linked_to,SO_posts_linking_to_orgs_repos,SO_answers_linking_to_orgs_repos,org_created,TempTable,blog,FirstEvent,EarlyEvents,MinsTo20Events,First20_Creates,First20_Forks,First20_Pushes,First20_WatchEvents,First20_IssueEvents,First20_PullRequests,First20_DistinctRepos,First20_OtherEvents,Event20Time,type
,12412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triadphp,triadphp,2.0,0.0,63.0,1.0,1373010184.0,1384928887.0,138.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-00 00:00:00,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
try-hubot,try-hubot,2.0,0.0,56.0,1.0,1343015998.0,1344032815.0,12.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
tterp,tterp,2.0,1.0,102.0,3.0,1376371936.0,1384849375.0,99.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2013-07-01 00:00:00,2.0,http://tterp.ru,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
tutulu,tutulu,2.0,0.0,16.0,2.0,1356214640.0,1357509060.0,15.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
uji-ros-pkg,uji-ros-pkg,11.0,0.0,235.0,2.0,1368646900.0,1385034803.0,190.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
ull-etsii-sistemas-operativos,ull-etsii-sistemas-operativos,2.0,0.0,196.0,1.0,1357941923.0,1382618284.0,286.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-01 00:00:00,4.0,http://goo.gl/5hufC,,3.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2012-12-21 23:58:51,3.0
unhcr,unhcr,7.0,3.0,86.0,3.0,1360907327.0,1379444975.0,215.0,7.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-01 00:00:00,3.0,http://data.unhcr.org,,20.0,9981.03,5.0,0.0,15.0,0.0,0.0,0.0,3.0,5.0,2013-02-21 16:34:19,3.0
unihallresclub,unihallresclub,4.0,2.0,40.0,2.0,1352177790.0,1362890212.0,124.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2012-11-00 00:00:00,4.0,http://www.unihallresclub.com,,20.0,59053.63,1.0,2.0,17.0,0.0,0.0,2.0,2.0,1.0,2012-12-17 04:38:12,3.0
usgo,usgo,2.0,1.0,537.0,3.0,1331505914.0,1385356548.0,624.0,1.0,1.0,2.0,5.0,4.0,23.0,15.0,0.0,1.0,6.0,0.0,0.0,0.0,2010-12-00 00:00:00,0.0,http://www.usgo.org,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
ve-interactive,ve-interactive,4.0,1.0,49.0,2.0,1360232537.0,1377177938.0,197.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-10-02 00:00:00,4.0,http://www.veinteractive.com/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
vispractice,vispractice,1.0,1.0,5.0,2.0,1364289510.0,1372130425.0,91.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-00 00:00:00,4.0,http://www.vispractice.com/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
vpsfarm,vpsfarm,1.0,0.0,3.0,1.0,1342803521.0,1347806887.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,
w2ogroup,w2ogroup,9.0,10.0,135.0,8.0,1354745653.0,1383951482.0,339.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
wallety,wallety,3.0,0.0,21.0,3.0,1351785033.0,1379260450.0,319.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2012-11-00 00:00:00,4.0,http://wallety.com,,17.0,5746.22,6.0,0.0,11.0,0.0,0.0,0.0,2.0,6.0,2012-11-05 15:27:31,3.0
