Flash Builder 
Allegro Common Lisp 
Anjuta 
Anjuta 
Anjuta 
AppCode
Aptana Studio 
Aptana Studio 
Aptana Studio
BASIC
Basic4android 
BlackBox Component Builder 
BlueJ 
C++Builder 
Code::Blocks 
Code::Blocks 
Codea 
CodeLite 
Codelobster 
Codenvy 
Component Pascal
CPIde 
Decoda 
Dev-C++ 
Dolphin Smalltalk 
DrJava 
DrRacket 
Eclipse CDT 
Eclipse DLTK 
Eclipse EPIC 
Eclipse JDT 
Eclipse JDT 
Eclipse JDT IBM 
Eclipse PDT 
Eclipse w/ AonixADT[1] 
Eclipse Web Tools 
EiffelStudio 
Eric Python and Ruby IDE 
Eric Python and Ruby IDE 
Express Edition: Freeware
FlashDevelop 
Free Pascal IDE 
Gambas 
Geany 
Geany 
Geany 
Geany 
Geany 
Geany 
GNAT Programming Studio 
GNAT Programming Studio 
GNAT Programming Studio 
Greenfoot 
HTML-Kit 
IntelliJ IDEA 
IntelliJ IDEA 
IntelliJ IDEA 
IntelliJ IDEA 
JBuilder 
JCreator 
JDeveloper 
jGRASP 
KDevelop 
KDevelop 
KDevelop 
KDevelop 
KDevelop 
KDevelop 
Komodo IDE 
Komodo IDE / Edit 
Komodo IDE / Edit 
Komodo IDE / Edit 
Komodo IDE / Edit 
Komodo IDE / Edit 
LabWindows/CVI 
Lazarus 
LccWin32 
LispWorks 
Microsoft Small Basic 
Microsoft Visual Studio 
Microsoft Visual Studio 
Microsoft Visual Studio 
Microsoft Visual Studio Express 
MIDletPascal 
MonoDevelop 
MonoDevelop 
MonoDevelop 
MonoDevelop 
Morfik 
MSEide 
MyEclipse 
NetBeans 
NetBeans 
NetBeans 
NetBeans 
NetBeans 
NetBeans 
NetBeans 
NetBeans C/C++ pack 
Ninja-IDE 
Nodeclipse NTS 
NuSphere PhpED 
OpenWatcom 
OpenWatcom 
Oracle JDeveloper 
Oracle Solaris Studio
Oxygene 
Padre 
"Pascal, Object Pascal"
Pelles C 
Pharo 
Philasmicos Entwickler Studio 
Photran
PHPEclipse
PhpED Professional 
PHPEdit 
PhpStorm
PIDA 
PocketStudio 
PureBasic 
PyCharm 
PyDev
PyScripter 
Python Tools for Visual Studio 
PythonAnywhere 
Pythonista 
Qt Creator 
Quanta Plus 
Racket
RadPHP (formerly Delphi for PHP) 
Rational Application Developer 
Rational Software Architect
Realaxy ActionScript Editor
RubyMine
Servoy 
Servoy 
SharpDevelop 
SharpDevelop 
SLIME
Small Basic
Spyder 
Squeak 
Stani's Python Editor 
Ultimate++ TheIDE 
Visual Studio 
VisualWorks 
WebDev 
WebStorm 
WinDev 
Wing IDE 
WLanguage
wxDev-C++ 
Xcode
Xojo 
Zend Studio 
