Atom
Acme 
AkelPad 
Alphatk 
Aquamacs Emacs 
Arachnophilia 
BBEdit 
BBEdit Lite 
Bluefish 
CodeWright 
ConTEXT 
Cream 
Crimson Editor 
CygnusEd
Diakonos 
E Text Editor 
Eddie 
EditPlus 
edlin 
Elvis 
Emacs 
EmEditor 
Epsilon 
Extensible Versatile Editor
Geany 
gedit 
gedit 
GNU Emacs/XEmacs 
GoldED
GWD Text Editor 
HTML Kit 
HxD
iA Writer 
Inlage LaTeX Editor 
JED 
jEdit 
JOE 
JOVE 
JuffEd 
Kate 
Kedit 
Kile 
Kod 
Komodo Edit 
KWrite 
Language-Sensitive Editor
Lapis 
Leafpad 
LEd – LaTeX Editor 
Leo 
Light Table 
MadEdit 
mcedit 
mcedit 
Metapad 
MicroEMACS 
MinEd 
Mousepad 
MS-DOS Editor 
Nano 
Nedit
Notepad 
Notepad++ 
Notepad2 
NoteTab 
NoteTab Light 
nvi 
Pico 
PolyEdit 
Programmer's File Editor
Programmer's Notepad 
PSPad 
Q10 
RJ TextEd 
RText 
Sam 
SciTE 
SETEDIT 
SimpleText 
skEdit 
SlickEdit 
Smultron 
Source Insight 
SubEthaEdit
Sublime Text 
TeachText 
TED Notepad 
Tex-Edit Plus 
TeXnicCenter 
TeXShop 
TextEdit 
TextMate 
TextPad and Wildedit 
TextWrangler 
The Hessling Editor 
The SemWare Editor 
The SemWare Editor 
Tincta
TopStyle 
UltraEdit 
Ulysses 
UniRed 
VEDIT 
vi 
vile
vim 
vim 
WinEdt 
X11 Xedit 
XEDIT 
Yi editor 
Yudit 
Zile 
