Physical recordable media archiving	    ISO 	 The generic file format for most optical media, including CD-ROM, DVD-ROM, Blu-ray Disc, HD DVD and UMD.
Physical recordable media archiving	    MDS 	 DAEMON tools native disc image file format used for making images from optical CD-ROM, DVD-ROM, HD DVD or Blu-ray Disc. It comes together with MDF file and can be mounted with DAEMON Tools.
Physical recordable media archiving	    MDX 	 New DAEMON Tools file format that allows to get one MDX disc image file instead of two (MDF and MDS).
Physical recordable media archiving	    NRG 	 The proprietary optical media archive format used by Nero applications.
Physical recordable media archiving	    SDI 	" System Deployment Image, used for archiving and providing ""virtual disk"" functionality."
Physical recordable media archiving	(MPEG-1 is found in a .DAT file on a video CD.)	
Computer-aided	Computer-aided is a prefix for several categories of tools (e.g., design, manufacture, engineering) which assist professionals in their respective fields (e.g., machining, architecture, schematics).	
Computer-aided	Computer-aided design (CAD)	
Computer-aided	Computer-aided design (CAD) software assists engineers, architects and other design professionals in project design.	
Computer-aided	    3dmlw 	
Computer-aided	    3dxml 	 (3D Markup Language for Web) files
Computer-aided	    ACP 	 Dassault Systemes graphic representation
Computer-aided	    AMF 	 VA Software VA 
Computer-aided	    AEC - DataCAD drawing format 	 Additive Manufacturing File Format
Computer-aided	    AR 	1
Computer-aided	    ART 	 Ashlar-Vellum Argon 
Computer-aided	    ASC 	 ArtCAM model
Computer-aided	    ASM 	 BRL-CAD Geometry File (old ASCII format)
Computer-aided	    BIN, BIM 	 Solidedge Assembly, Pro/ENGINEER Assembly
Computer-aided	    CCC 	 Data Design System DDS-CAD
Computer-aided	    CCM 	 CopyCAD Curves
Computer-aided	    CCS 	 CopyCAD Model
Computer-aided	    CAD 	 CopyCAD Session
Computer-aided	    CATDrawing 	 CadStd
Computer-aided	    CATPart 	 CATIA V5 Drawing document
Computer-aided	    CATProduct 	 CATIA V5 Part document
Computer-aided	    CATProcess 	 CATIA V5 Assembly document
Computer-aided	    cgr 	 CATIA V5 Manufacturing document
Computer-aided	    CO 	 CATIA V5 graphic representation file
Computer-aided	    DRW 	 Ashlar-Vellum Cobalt 
Computer-aided	    DFT 	 Caddie Early version of Caddie drawing 
Computer-aided	    DGN 	 Solidedge Draft
Computer-aided	    DGK 	 MicroStation design file
Computer-aided	    DMT 	 Delcam Geometry
Computer-aided	    DXF 	 Delcam Machining Triangles
Computer-aided	    DWB 	 ASCII Drawing Interchange file format 
Computer-aided	    DWF 	 VariCAD drawing file
Computer-aided	    DWG 	 AutoDesk's Web Design Format; AutoCAD & Revit can publish to this format; similar in concept to PDF files; AutoDesk Design Review is the reader
Computer-aided	    EASM - SolidWorks eDrawings assembly file	 AutoCAD and Open Design Alliance applications, Autodesk Inventor Drawing file
Computer-aided	    EDRW - eDrawings drawing file	
Computer-aided	    EMB 	
Computer-aided	    EPRT - eDrawings part file	 Wilcom ES Designer Embroidery CAD file
Computer-aided	    ESW 	
Computer-aided	    EXCELLON 	 AGTEK format
Computer-aided	    EXP 	 Excellon file
Computer-aided	    FM 	 Drawing Express file format
Computer-aided	    FMZ 	 FeatureCAM Part File
Computer-aided	    G 	 FormZ Project file
Computer-aided	    GBR 	 BRL-CAD Geometry File
