"","month","year","repo_name","repo_url","events","pos"
"80",8,2012,"infinity","https://github.com/airbnb/infinity",787,9
"81",8,2012,"api-spec","https://github.com/appdotnet/api-spec",767,10
"82",9,2012,"bootstrap","https://github.com/twitter/bootstrap",1746,1
"83",9,2012,"bower","https://github.com/twitter/bower",1692,2
"84",9,2012,"yeoman","https://github.com/yeoman/yeoman",1294,3
"85",9,2012,"tomorrow-theme","https://github.com/chriskempson/tomorrow-theme",1252,4
"86",9,2012,"xiki","https://github.com/trogdoro/xiki",944,5
"87",9,2012,"Source-Code-Pro","https://github.com/adobe/Source-Code-Pro",901,6
"88",9,2012,"gifsockets","https://github.com/videlalvaro/gifsockets",868,7
"89",9,2012,"turbolinks","https://github.com/rails/turbolinks",811,8
"90",9,2012,"html5-boilerplate","https://github.com/h5bp/html5-boilerplate",804,9
"91",9,2012,"reveal.js","https://github.com/hakimel/reveal.js",722,10
"92",10,2012,"bootstrap","https://github.com/twitter/bootstrap",1721,1
"93",10,2012,"selfstarter","https://github.com/lockitron/selfstarter",925,2
"94",10,2012,"brackets","https://github.com/adobe/brackets",821,3
"95",10,2012,"pattern","https://github.com/clips/pattern",792,4
"96",10,2012,"foundation","https://github.com/zurb/foundation",787,5
"97",10,2012,"gitlabhq","https://github.com/gitlabhq/gitlabhq",784,6
"98",10,2012,"bootmetro","https://github.com/aozora/bootmetro",773,7
"99",10,2012,"syte","https://github.com/rigoneri/syte",771,8
"100",10,2012,"scripted","https://github.com/scripted-editor/scripted",747,9
"101",10,2012,"Makisu","https://github.com/soulwire/Makisu",727,10
"102",11,2012,"ratchet","https://github.com/maker/ratchet",2505,1
"103",11,2012,"bootstrap","https://github.com/twitter/bootstrap",1590,2
"104",11,2012,"colour-schemes","https://github.com/daylerees/colour-schemes",1383,3
"105",11,2012,"pickadate.js","https://github.com/amsul/pickadate.js",1374,4
"106",11,2012,"bootstrap-modal","https://github.com/jschr/bootstrap-modal",1358,5
"107",11,2012,"alertify.js","https://github.com/fabien-d/alertify.js",1257,6
"108",11,2012,"Garlic.js","https://github.com/guillaumepotier/Garlic.js",935,7
"109",11,2012,"dashing","https://github.com/Shopify/dashing",934,8
"110",11,2012,"d3","https://github.com/mbostock/d3",904,9
"111",11,2012,"x-editable","https://github.com/vitalets/x-editable",892,10
"112",12,2012,"better_errors","https://github.com/charliesome/better_errors",2082,1
"113",12,2012,"bootstrap","https://github.com/twitter/bootstrap",1718,2
"114",12,2012,"nui","https://github.com/tombenner/nui",1263,3
"115",12,2012,"analytics.js","https://github.com/segmentio/analytics.js",1115,4
"116",12,2012,"Font-Awesome","https://github.com/FortAwesome/Font-Awesome",1070,5
"117",12,2012,"d3","https://github.com/mbostock/d3",966,6
"118",12,2012,"select2","https://github.com/ivaynberg/select2",863,7
"119",12,2012,"xcharts","https://github.com/tenXer/xcharts",821,8
"120",12,2012,"rails_panel","https://github.com/dejan/rails_panel",806,9
"121",12,2012,"numbers.js","https://github.com/sjkaliski/numbers.js",782,10
"122",1,2013,"Parsley.js","https://github.com/guillaumepotier/Parsley.js",2120,1
"123",1,2013,"bootstrap","https://github.com/twitter/bootstrap",2090,2
"124",1,2013,"Font-Awesome","https://github.com/FortAwesome/Font-Awesome",1568,3
"125",1,2013,"howdoi","https://github.com/gleitz/howdoi",1179,4
"126",1,2013,"junior","https://github.com/justspamjustin/junior",1134,5
"127",1,2013,"elusive-iconfont","https://github.com/aristath/elusive-iconfont",1105,6
"128",1,2013,"d3","https://github.com/mbostock/d3",1100,7
"129",1,2013,"html5-boilerplate","https://github.com/h5bp/html5-boilerplate",886,8
"130",1,2013,"angular.js","https://github.com/angular/angular.js",876,9
"131",1,2013,"jquery","https://github.com/jquery/jquery",858,10
"132",2,2013,"discourse","https://github.com/discourse/discourse",3518,1
"133",2,2013,"flight","https://github.com/twitter/flight",2653,2
"134",2,2013,"typeahead.js","https://github.com/twitter/typeahead.js",2332,3
"135",2,2013,"bootstrap","https://github.com/twitter/bootstrap",1900,4
"136",2,2013,"hint.css","https://github.com/chinchang/hint.css",1661,5
"137",2,2013,"dropzone","https://github.com/enyo/dropzone",1581,6
"138",2,2013,"Redacted-Font","https://github.com/christiannaths/Redacted-Font",1334,7
"139",2,2013,"YouCompleteMe","https://github.com/Valloric/YouCompleteMe",1107,8
"140",2,2013,"jquery.payment","https://github.com/stripe/jquery.payment",1019,9
"141",2,2013,"angular.js","https://github.com/angular/angular.js",928,10
"142",3,2013,"intro.js","https://github.com/usablica/intro.js",3744,1
"143",3,2013,"jQuery-menu-aim","https://github.com/kamens/jQuery-menu-aim",3726,2
"144",3,2013,"Chart.js","https://github.com/nnnick/Chart.js",3612,3
"145",3,2013,"Flat-UI","https://github.com/designmodo/Flat-UI",2447,4
"146",3,2013,"bootstrap","https://github.com/twitter/bootstrap",2343,5
"147",3,2013,"huginn","https://github.com/cantino/huginn",2157,6
"148",3,2013,"Flat-UI","https://github.com/iurevych/Flat-UI",1528,7
"149",3,2013,"dashing","https://github.com/Shopify/dashing",1526,8
"150",3,2013,"pixi.js","https://github.com/GoodBoyDigital/pixi.js",1434,9
"151",3,2013,"NewsBlur","https://github.com/samuelclay/NewsBlur",1357,10
"152",4,2013,"chardin.js","https://github.com/heelhook/chardin.js",2756,1
"153",4,2013,"helios","https://github.com/helios-framework/helios",2251,2
"154",4,2013,"bootstrap-wysiwyg","https://github.com/mindmup/bootstrap-wysiwyg",2219,3
"155",4,2013,"csscss","https://github.com/zmoazeni/csscss",2071,4
"156",4,2013,"verlet-js","https://github.com/subprotocol/verlet-js",1976,5
"157",4,2013,"bootstrap","https://github.com/twitter/bootstrap",1976,5
"158",4,2013,"Snap.js","https://github.com/jakiestfu/Snap.js",1750,7
"159",4,2013,"rendr","https://github.com/airbnb/rendr",1397,8
"160",4,2013,"log","https://github.com/adamschwartz/log",1395,9
"161",4,2013,"webcam-pulse-detector","https://github.com/thearn/webcam-pulse-detector",1228,10
"162",5,2013,"Magnific-Popup","https://github.com/dimsemenov/Magnific-Popup",2046,1
"163",5,2013,"pure","https://github.com/yui/pure",2006,2
"164",5,2013,"bootstrap","https://github.com/twitter/bootstrap",1835,3
"165",5,2013,"FlatUIKit","https://github.com/Grouper/FlatUIKit",1763,4
"166",5,2013,"two.js","https://github.com/jonobr1/two.js",1725,5
"167",5,2013,"topcoat","https://github.com/topcoat/topcoat",1700,6
"168",5,2013,"pdf2htmlEX","https://github.com/coolwanglu/pdf2htmlEX",1520,7
"169",5,2013,"stringer","https://github.com/swanson/stringer",1453,8
"170",5,2013,"xctool","https://github.com/facebook/xctool",1428,9
"171",5,2013,"polymer","https://github.com/Polymer/polymer",1384,10
"172",6,2013,"frontend-dev-bookmarks","https://github.com/dypsilon/frontend-dev-bookmarks",4162,1
"173",6,2013,"Ladda","https://github.com/hakimel/Ladda",3165,2
"174",6,2013,"AngularJS-Learning","https://github.com/jmcunningham/AngularJS-Learning",2582,3
"175",6,2013,"Probabilistic-Programming-and-Bayesian-Methods-for-Hackers","https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers",2098,4
"176",6,2013,"code-problems","https://github.com/blakeembrey/code-problems",2062,5
"177",6,2013,"pure","https://github.com/yui/pure",2001,6
"178",6,2013,"bootstrap","https://github.com/twitter/bootstrap",1631,7
"179",6,2013,"Seriously.js","https://github.com/brianchirls/Seriously.js",1419,8
"180",6,2013,"skrollr","https://github.com/Prinzhorn/skrollr",1414,9
"181",6,2013,"dokku","https://github.com/progrium/dokku",1217,10
"182",7,2013,"Effeckt.css","https://github.com/h5bp/Effeckt.css",4779,1
"183",7,2013,"quine-relay","https://github.com/mame/quine-relay",2243,2
"184",7,2013,"Projects","https://github.com/thekarangoel/Projects",2023,3
