"","Var1","Freq"
"1","0",56768
"2","1",121670
"3","2",10932
"4","3",3109
"5","4",1331
"6","5",647
"7","6",357
"8","7",209
"9","8",134
"10","9",87
"11","10",65
"12","11",41
"13","12",32
"14","13",24
"15","14",21
"16","15",21
"17","16",13
"18","17",8
"19","18",3
"20","19",4
"21","20",4
"22","21",4
"23","22",3
"24","23",3
"25","24",4
"26","25",3
"27","26",2
"28","27",4
"29","28",1
"30","29",1
"31","37",1
"32","48",1
"33","90",1
"34","94",1
