    Apache Continuum
    Apache Gump
    AutomatedQA Automated Build Studio
    Atlassian Software Systems Bamboo
    Buildbot
    BuildHive
    CABIE
    Cascade
    codeBeamer
    CruiseControl
    CruiseControl.rb
    Electric Cloud ElectricCommander
    FinalBuilder Server
    Hudson
    Jenkins (Fork of Hudson)
    IBM Rational Team Concert
    IBM Rational Software SCLM
    Microsoft Team Foundation Server
    Shippable
    Strider
    TeamCity
    Thoughtworks Go
    Tinderbox
    Travis CI
    Xcode 5
