    dpkg
     RPM Package Manager 
    Amazon Appstore
    AmiUpdate
    App Store
    appbrowser
    apt
    Assembly 
    Bower 
    Bundler 
    Cabal 
    Chocolatey 
    CocoaPods 
    Composer 
    Conary
    CPAN 
    CRAN 
    CTAN 
    Cydia
    Cygwin
    DUB 
    EasyInstall 
    epm
    Equo
    fink
    Fink 
    Fppkg 
    GetJar
    Go Get 
    Google Play
    Gradle 
    Grunch
    HaikuPorts
    Homebrew
    Homebrew 
    IBM SmartCloud Enterprise
    Image Packaging System
    Image Packaging System
    Installous
    ipkg
    Ivy 
    Joyent
    klik 
    leiningen 
    LuaRocks 
    Mac App Store
    MacPorts
    MacPorts 
    Maven 
    mingw
    MorphUp
    Ninite 
    Nix package manager
    Npackd
    npm 
    NSIS 
    NuGet 
    NuGet 
    OPAM 
    OpenCSW 
    OpenPKG
    opkg
    package.el 
    PackageKit
    Pacm 
    Pacman for Arch Linux
    PAR::Repository
    PEAR 
    PETget
    PISI
    pkgsrc
    pkgutils
    Portage
    PyPI 
    Quicklisp 
    Rebar 
    RubyGems 
    rudix
    sbt 
    SlideME
    Smart Package Manager
    Sorcery
    Steam 
    Steam 
    Steam 
    Tazpkg 
    TiltOS
    TWW Tools 
    Upkg
    VI Package Manager 
    Windows installer
    wpkg 
    Zero Install
ABS
FreeBSD Ports Collection
