ADaMSoft
acslX
ADMB
ADMB
AMPL
Analyse-it
Analytica
Angoss
APMonitor:
Armadillo
ASReml
Automlab
Baudline
Bayesian Filtering Library
BMDP
BV4.1
Ceemple:
Chronux
COMSOL
COMSOL
CSPro
DADiSP
DAP
Data Applied
Dataplot
dotplot
EJS
ELKI
ELKI
Epi
Euler
FEniCS
Fityk
Fityk
FlexPro
FlexPro
FreeMat
GAUSS
GeoDA
GNU
GNU
GraphPad
gretl
Hermes
IDAMS/WinIDAMS
IDL
IGOR
ILNumerics.Net
Jacket
JAGS
jLab
jMathLab
JMulTi
Julia
Julia
KPP
LabPlot
LabVIEW
LIBSVM
LIMDEP
LISREL
Macsyma
Madagascar
MadArtSoft
Madeline
Maple
Maple
Mathcad
Mathemagix
Mathematica
Mathematica
MATLAB
MATLAB
MCSim
MCXLAB
MedCalc
Metfem2d:
Minitab
MINUIT
MLPACK
MLPACK
MLwiN
Mondrian
mpmath
NAG
NAG
NCAR
NCSS
NLOGIT
NMath
numberGo
NumXL
O-Matrix
O-Matrix
O-Matrix
Octave
OpenBUGS
OpenEpi
OpenMx
OptimJ
Orange
Origin
OriginPro
Pandas
PARI/GP
Partek
PAW
pbdR
Ploticus
Plotly
Plotly
Primer-E
PSPP
PV-WAVE
pylab
QED
QtiPlot
Quadrigram
QUADRIGRAM
Quantopix
Quantum Analytics
R Commander
RapidMiner
RATS
Rattle
Revolution R
Rlab
S-PLUS
Sage
Salome
Salstat
SAS
SAS
SCaViS
SCaViS
SCaViS
SCaViS
sciGPGPU
scikit-learn
Scilab
Scilab
SciPy
SHAZAM
Shogun
Shogun
SigmaStat
SigmaXL
Simfit
SimplexNumerica
Simul
SOCR
SOCR
SOFA
SPC
Speakeasy
Speakeasy
SPSS
SPSS
SPSS
Stan
Stata
Statgraphics
STATISTICA
StatsDirect
statsmodels
StatsXL
StatXact
SUDAAN
Sysquake
Systat
Trilinos
Unistat
VisSim
Waffles
Weka
Weka
WinBUGS
Winpepi
X-12-ARIMA
XLfit
Xlisp-stat
XploRe
Yorick
