ASP.NET
Agavi
AgilePHP
Akelos
AngularJS
Apache Click
ASP.NET MVC
Atomik
Aura
Bottle
Cairngorm
CakePHP
Camping
Cappuccino
Catalyst
CGI::Application
CGI::Prototype
CherryPy
Circumflex
ClearPress
Cocoon
CodeIgniter
Compojure
CompoundJS
Conjure
Cyclone3
Django
Dojo
Eliom
Ember.js
Erlang Web
ErlyWeb
Express
Flask
Flatiron
Flex
Flight
Gantry
Google Web Toolkit
Grails
Grain
Grok
Halcyon
Happstack
Hemlock
Horde
HybridJava
HydraMVC
JavaScriptMVC
Jifty
JSF
Koa
Kohana
Konstrukt
KumbiaPHP
Laravel
Lemmachine
Lift
Lithium
Mack
Mason
Mate
Maveric
Merb
Meteor
miku
Mojolicious
Moustache
Nerve
Nitro
Nitrogen
node-router
nodemachine
Noir
Orbit
PHP Fat-Free Framework
PHP For Applications
Picard
Prado
PureMVC
Pyramid
Qcodo
QCubed
Quixote
Ramaze
Ratpack
RestfulX
Restlet
Ring
Roma
Ruby on Rails
Rum
Sails.js
Salvia
Scalatra
Seagull
seaside
SilverStripe Sapphire
simplex
Sinatra
Snap
Solar
Spring
SproutCore
Squatting
Stripes
Struts
sweetscala
Swiftlet
Swiz
Symfony
Tapestry
Tipfy
Tornado
Turbine
TurboGears
UKI
Vaadin
Vork
Vroom
Waves
web.py
web2py
WebGUI
Webjure
Wee
Wicket
Xitrum
Xyster
Yesod
Yii
Zend
ZK
Zope
Zotonic
