"","RepoEvents","Freq","CumFreq","Fork"
"201",1214,17,4429,FALSE
"202",1432,17,4446,FALSE
"203",1196,17,4463,FALSE
"204",1255,17,4480,FALSE
"205",1205,17,4497,FALSE
"206",1156,17,4514,FALSE
"207",1301,17,4531,FALSE
"208",1083,17,4548,FALSE
"209",1165,17,4565,FALSE
"210",1400,17,4582,FALSE
"211",1109,17,4599,FALSE
"212",1116,17,4616,FALSE
"213",1276,17,4633,FALSE
"214",1145,17,4650,FALSE
"215",1058,17,4667,FALSE
"216",1349,17,4684,FALSE
"217",1129,17,4701,FALSE
"218",1298,17,4718,FALSE
"219",1243,17,4735,FALSE
"220",1171,17,4752,FALSE
"221",1248,16,4768,FALSE
"222",1228,16,4784,FALSE
"223",1423,16,4800,FALSE
"224",1497,16,4816,FALSE
"225",1104,16,4832,FALSE
"226",1227,16,4848,FALSE
"227",1174,16,4864,FALSE
"228",1333,16,4880,FALSE
"229",1137,16,4896,FALSE
"230",1373,16,4912,FALSE
"231",1101,16,4928,FALSE
"232",1395,16,4944,FALSE
"233",1328,16,4960,FALSE
"234",1103,16,4976,FALSE
"235",1566,16,4992,FALSE
"236",1331,16,5008,FALSE
"237",1166,16,5024,FALSE
"238",1005,16,5040,FALSE
"239",1222,16,5056,FALSE
"240",1197,16,5072,FALSE
"241",1272,16,5088,FALSE
"242",1346,16,5104,FALSE
"243",1226,16,5120,FALSE
"244",1411,16,5136,FALSE
"245",1267,16,5152,FALSE
"246",1442,16,5168,FALSE
"247",1324,16,5184,FALSE
"248",1348,16,5200,FALSE
"249",1275,16,5216,FALSE
"250",1237,16,5232,FALSE
"251",1150,16,5248,FALSE
"252",1131,16,5264,FALSE
"253",1350,16,5280,FALSE
"254",1595,16,5296,FALSE
"255",1377,16,5312,FALSE
"256",1183,16,5328,FALSE
"257",1316,16,5344,FALSE
"258",1268,16,5360,FALSE
"259",1353,15,5375,FALSE
"260",1557,15,5390,FALSE
"261",1488,15,5405,FALSE
"262",1216,15,5420,FALSE
"263",1369,15,5435,FALSE
"264",1674,15,5450,FALSE
"265",1319,15,5465,FALSE
"266",1630,15,5480,FALSE
"267",1277,15,5495,FALSE
"268",1167,15,5510,FALSE
"269",1142,15,5525,FALSE
"270",1447,15,5540,FALSE
"271",1184,15,5555,FALSE
"272",1238,15,5570,FALSE
"273",1347,15,5585,FALSE
"274",1375,15,5600,FALSE
"275",1498,15,5615,FALSE
"276",1386,15,5630,FALSE
"277",1232,15,5645,FALSE
"278",1143,15,5660,FALSE
"279",1428,15,5675,FALSE
"280",1471,15,5690,FALSE
"281",1282,15,5705,FALSE
"282",1221,15,5720,FALSE
"283",1517,15,5735,FALSE
"284",1513,15,5750,FALSE
"285",1537,15,5765,FALSE
"286",1322,15,5780,FALSE
"287",1493,15,5795,FALSE
"288",1132,15,5810,FALSE
"289",1195,15,5825,FALSE
"290",1406,15,5840,FALSE
"291",1402,15,5855,FALSE
"292",1312,15,5870,FALSE
"293",1198,15,5885,FALSE
"294",1188,15,5900,FALSE
"295",1300,15,5915,FALSE
"296",1285,15,5930,FALSE
"297",1283,15,5945,FALSE
"298",1159,15,5960,FALSE
"299",1287,15,5975,FALSE
"300",1288,15,5990,FALSE
"301",1341,15,6005,FALSE
"302",1099,15,6020,FALSE
"303",1359,15,6035,FALSE
"304",1262,15,6050,FALSE
"305",1321,15,6065,FALSE
"306",1273,15,6080,FALSE
"307",1254,15,6095,FALSE
"308",1452,14,6109,FALSE
"309",1279,14,6123,FALSE
"310",1416,14,6137,FALSE
"311",1299,14,6151,FALSE
"312",1337,14,6165,FALSE
"313",1521,14,6179,FALSE
"314",1202,14,6193,FALSE
"315",1284,14,6207,FALSE
"316",1152,14,6221,FALSE
"317",1050,14,6235,FALSE
"318",1223,14,6249,FALSE
"319",1515,14,6263,FALSE
"320",1270,14,6277,FALSE
"321",1160,14,6291,FALSE
"322",1391,14,6305,FALSE
"323",1462,14,6319,FALSE
"324",1365,14,6333,FALSE
"325",1213,14,6347,FALSE
"326",1212,14,6361,FALSE
"327",1370,14,6375,FALSE
"328",1192,14,6389,FALSE
"329",1332,14,6403,FALSE
"330",1589,14,6417,FALSE
"331",1531,14,6431,FALSE
"332",1208,14,6445,FALSE
"333",1486,14,6459,FALSE
"334",1726,14,6473,FALSE
"335",1401,14,6487,FALSE
"336",1274,14,6501,FALSE
"337",1519,14,6515,FALSE
"338",1572,14,6529,FALSE
"339",1087,14,6543,FALSE
"340",1453,14,6557,FALSE
"341",1389,14,6571,FALSE
"342",1313,14,6585,FALSE
"343",1417,14,6599,FALSE
"344",1808,14,6613,FALSE
"345",1340,14,6627,FALSE
"346",1380,14,6641,FALSE
"347",1474,14,6655,FALSE
"348",1067,14,6669,FALSE
"349",1218,14,6683,FALSE
"350",1334,14,6697,FALSE
"351",1130,14,6711,FALSE
"352",1463,13,6724,FALSE
