Aonix Object Ada 
Borland Turbo C 
Absoft Pro Fortran 
ALGOL 60 
ALGOL 68G (Genie) 
Allegro Common Lisp 
AMPC 
Amsterdam Compiler Kit 
Amsterdam Compiler Kit 
Armed Bear Common Lisp 
Aztec C 
BaCon 
BAIL 
BBC Basic for Windows 
Bigloo 
BlitzMax 
Borland C++ 
C++ Builder 
C++ Compiler 
CCS C Compiler 
Ch 
Chez Scheme 
Chicken Scheme 
Chipmunk Basic 
CINT 
Clang 
Clang 
CLI compilers
CLISP 
Clozure CL 
CMU Common Lisp 
COBOL compilers
CodeWarrior 
CodeWarrior 
Comeau C/C++ 
Common Larceny 
Common Lisp compilers
CoolBasic 
Corman Common Lisp 
CoSy compiler development system 
CParser/libFirm 
cython 
D Compiler for .Net 
D compilers
DarkBASIC 
Delphi Prism 
Delphi Prism 
DIBOL/DBL compilers
Digital Mars 
Digital Mars 
Digital Mars D (DMD) 
Dignus Systems/C 
DoyleSoft BASIC 
ECJ (Eclipse Compiler for Java) 
ECMAScript interpreters
EDGE ARM C/C++ 
Eiffel compilers
EiffelStudio 
Elk Scheme 
Embarcadero Delphi 
Embeddable Common Lisp 
Felix 
FrameworkPascal 
Free Pascal 
FreeBASIC 
FTN95 
G95 
Gambas 
Gambit 
Gauche 
GCC 
GCC C 
GCC GNAT 
GDC 
GFortran 
GHC 
GLBasic 
GNU Common Lisp 
GNU Guile 
GNU Java 
GNU Pascal 
GNU Smalltalk 
HBC 
Hippo-C 
HP aC++ 
HP Pascal 
IAR C/C++ Compilers 
IAR C/C++ Compilers 
IBM COBOL 
IBM Enterprise PL/I 
IBM PL/I(F) 
IBM Rational Apex 
Ikarus Scheme 
ILDJIT 
Intel C++ Compiler 
Intel Fortran Compiler 
Interactive C 
Interpreter 
Irie Pascal 
Iron Spring PL/I 
IronScheme 
Irvine Compiler 
isCOBOL 
Java compilers
Javac 
JHC 
Jikes 
JScheme 
Just BASIC 
KAI C++ Compiler 
Kawa 
KBasic 
Kednos PL/I 
Kylix 
LabWindows/CVI 
Lahey Fortran 
Larceny 
Lattice C 
lcc 
LDC 
Liberty BASIC 
LispWorks 
Mac C 
ManKai Common Lisp 
Mark Williams C 
MCP Compiler 
MCP Compiler 
MCP Compiler 
MCP Compiler 
MCP Compiler 
Micro C Compiler (mcc) 
Micro-C Compiler (mcc) 
Microsoft Pascal 
Microtec 
MikroC Compiler 
MIT/GNU Scheme 
MMBasic 
Mono 
Mono 
MPW C 
MULTI 
Multics PL/I 
NAG Fortran Compiler 
NBasic 
Neatcc 
NetBeans 
NetCOBOL 
NHC 
Nuitka 
Nwcc 
Open Genera 
Open Watcom 
Open64 
Open64 
Open64 
OpenCOBOL 
Oracle Solaris Studio 
Owl Lisp 
Oxygen Scheme 
Parallware 
PathScale 
PathScale Compiler Suite 
Pelles C 
Persistent S-algol 
Petit Larceny 
PGCC 
PGCPP 
PGFORTRAN 
PIPS 
PL/I compilers
Portable C Compiler 
Portable.NET 
Portable.NET 
Power C 
Power J[7] 
PowerBASIC 
ProDev WorkShop 
Psyco 
PureBasic 
PVTS 
PyPy 
Python compilers
QB64 
QuickBASIC 
QuickC 
Racket 
Raincode COBOL 
Raincode PL/I 
RapidQ 
RCC (RCOR C Compiler) 
Realbasic 
RealView C/C++ Compiler (armcc) 
Ritchie C Compiler (PDP-11) 
Rose Compiler 
RScheme 
S.N Java Compiler 
Salford C++ Compiler 
SAS/C 
SAS/C C++ 
Scheme 48 
Scheme compilers and interpreters
Scieneer Common Lisp 
SCM 
Shedskin 
Small Device C Compiler 
Small-C 
Smalltalk compilers
Smalltalk MT 
Smalltalk YX 
Solaris Studio 
Solaris Studio Express 
Source-to-source compilers
Stalin 
Steel Bank Common Lisp 
SubC 
Synergy DBL[4][5][6] 
"Systems/C,C++ "
TenDRA 
"THINK C, Lightspeed C "
Tiny C Compiler 
TinyCOBOL 
True BASIC 
Turbo C++ Explorer 
Turbo C++ for DOS 
Turbo Pascal 
Turbo Pascal for Windows 
ups debugger (includes C interpreter) 
VBCC 
Vector Pascal 
VectorC 
Virtual Pascal 
Visual Basic 
Visual C# 
Visual C# Express 
Visual C++ 
Visual C++ Express 
Visual COBOL 
Visual Studio 
VisualAge C++ 
VisualWorks 
VS Fortran 
WDSibyl 
Wind River (Diab) Compiler 
XCL 
XL C 
XL C/C++ 
XL Fortran 
YHC 
