Computer-aided	Computer-aided is a prefix for several categories of tools (e.g.	 design
Computer-aided	Computer-aided design (CAD)	
Computer-aided	Computer-aided design (CAD) software assists engineers	 architects and other design professionals in project design.
Computer-aided	    3dmlw 	
Computer-aided	    3dxml 	 (3D Markup Language for Web) files
Computer-aided	    ACP 	 Dassault Systemes graphic representation
Computer-aided	    AMF 	 VA Software VA 
Computer-aided	    AEC - DataCAD drawing format 	 Additive Manufacturing File Format
Computer-aided	    AR 	1
Computer-aided	    ART 	 Ashlar-Vellum Argon 
Computer-aided	    ASC 	 ArtCAM model
Computer-aided	    ASM 	 BRL-CAD Geometry File (old ASCII format)
Computer-aided	    BIN	 BIM 
Computer-aided	    CCC 	 Data Design System DDS-CAD
Computer-aided	    CCM 	 CopyCAD Curves
Computer-aided	    CCS 	 CopyCAD Model
Computer-aided	    CAD 	 CopyCAD Session
Computer-aided	    CATDrawing 	 CadStd
Computer-aided	    CATPart 	 CATIA V5 Drawing document
Computer-aided	    CATProduct 	 CATIA V5 Part document
Computer-aided	    CATProcess 	 CATIA V5 Assembly document
Computer-aided	    cgr 	 CATIA V5 Manufacturing document
Computer-aided	    CO 	 CATIA V5 graphic representation file
Computer-aided	    DRW 	 Ashlar-Vellum Cobalt 
Computer-aided	    DFT 	 Caddie Early version of Caddie drawing 
Computer-aided	    DGN 	 Solidedge Draft
Computer-aided	    DGK 	 MicroStation design file
Computer-aided	    DMT 	 Delcam Geometry
Computer-aided	    DXF 	 Delcam Machining Triangles
Computer-aided	    DWB 	 ASCII Drawing Interchange file format 
Computer-aided	    DWF 	 VariCAD drawing file
Computer-aided	    DWG 	 AutoDesk's Web Design Format; AutoCAD & Revit can publish to this format; similar in concept to PDF files; AutoDesk Design Review is the reader
Computer-aided	    EASM - SolidWorks eDrawings assembly file	 AutoCAD and Open Design Alliance applications
Computer-aided	    EDRW - eDrawings drawing file	
Computer-aided	    EMB 	
Computer-aided	    EPRT - eDrawings part file	 Wilcom ES Designer Embroidery CAD file
Computer-aided	    ESW 	
Computer-aided	    EXCELLON 	 AGTEK format
Computer-aided	    EXP 	 Excellon file
Computer-aided	    FM 	 Drawing Express file format
Computer-aided	    FMZ 	 FeatureCAM Part File
Computer-aided	    G 	 FormZ Project file
Computer-aided	    GBR 	 BRL-CAD Geometry File
Computer-aided	    GLM 	 Gerber file
Computer-aided	    GRB 	 KernelCAD model
Computer-aided	    GTC 	 T-FLEX CAD File
Computer-aided	    IAM 	 GRAITEC Advance file format
Computer-aided	    ICD 	 Autodesk Inventor Assembly file
Computer-aided	    IDW 	 IronCAD 2D CAD file
Computer-aided	    IFC 	 Autodesk Inventor Drawing file
Computer-aided	    IGES 	 buildingSMART for sharing AEC and FM data
Computer-aided	    Intergraph's Intergraph Standard File Formats	 Initial Graphics Exchange Specification
Computer-aided	    IPN 	
Computer-aided	    IPT 	 Autodesk Inventor Presentation file
Computer-aided	    JT (visualization format) Jupiter Tesselation	 Autodesk Inventor Part file
Computer-aided	    MCD 	
Computer-aided	    model 	 Monu-CAD (Monument/Headstone Drawing file)
Computer-aided	    OCD 	 CATIA V4 part document
Computer-aided	    PAR 	 Orienteering Computer Aided Design (OCAD) file
Computer-aided	    PIPE 	 Solidedge Part
Computer-aided	    PLN 	 PIPE-FLO Professional Piping system design file
Computer-aided	    PRT 	 ArchiCad project
Computer-aided	    PSM 	 NX (recently known as Unigraphics)
Computer-aided	    PSMODEL 	 Solidedge Sheet
Computer-aided	    PWI 	 PowerSHAPE Model
Computer-aided	    PYT 	 PowerINSPECT File
Computer-aided	    SKP 	 Pythagoras File
Computer-aided	    RLF 	 SketchUp Model
Computer-aided	    RVT 	 ArtCAM Relief
Computer-aided	    RFA 	 AutoDesk Revit project files
Computer-aided	    S12 	 AutoDesk Revit family files
Computer-aided	    SCAD 	 Spirit file
Computer-aided	    SCDOC 	 OpenSCAD 3D part model
Computer-aided	    SLDASM 	 SpaceClaim 3D Part/Assembly
Computer-aided	    SLDDRW 	 SolidWorks Assembly drawing
Computer-aided	    SLDPRT 	 SolidWorks 2D drawing
Computer-aided	    Softimage's dotXSI	 SolidWorks 3D part model
Computer-aided	    STEP 	
Computer-aided	    STL 	 Standard for the Exchange of Product model data
Computer-aided	    TCT 	 Stereo Lithographic data format used by various CAD systems and stereo lithographic printing machines.
Computer-aided	    TCW 	 TurboCAD drawing template
Computer-aided	    UNV 	 TurboCAD for Windows 2D and 3D drawing
Computer-aided	    VC6 	 I-DEAS I-DEAS (Integrated Design and Engineering Analysis Software)
Computer-aided	    VLM 	 Ashlar-Vellum Graphite 
Computer-aided	    VS 	 Ashlar-Vellum Vellum
Computer-aided	    WRL 	 Ashlar-Vellum Vellum Solids
Computer-aided	    XE 	 Similar to STL
	 Ashlar-Vellum Xenon 	
Electronic design automation (EDA)	Electronic design automation (EDA)	
Electronic design automation (EDA)	Electronic design automation (EDA)	 or electronic computer-aided design (ECAD)
Electronic design automation (EDA)	    BRD 	
Electronic design automation (EDA)	    BSDL 	
Electronic design automation (EDA)	    CDL 	 Board file for EAGLE Layout Editor
Electronic design automation (EDA)	    CPF 	 Description language for testing through JTAG
Electronic design automation (EDA)	    DEF 	 Transistor-level netlist format for IC design
Electronic design automation (EDA)	    DSPF 	 Power-domain specification in SoC implementation (see also UPF)
Electronic design automation (EDA)	    EDIF 	 Gate-level layout
